Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2018-01-28 3:52PM,2018-01-28 5:45PM,100,13,1,113,N/A,N/A,N/A
2018-01-28 1:55AM,2018-01-28 8:27AM,372,20,1,392,N/A,N/A,N/A
2018-01-26 9:53PM,2018-01-27 6:33AM,506,14,0,520,N/A,N/A,N/A
2018-01-25 10:38PM,2018-01-26 7:16AM,498,17,1,518,N/A,N/A,N/A
2018-01-24 10:04PM,2018-01-25 6:48AM,503,21,2,524,N/A,N/A,N/A
2018-01-23 9:38PM,2018-01-24 6:56AM,515,43,3,558,N/A,N/A,N/A
2018-01-22 10:30PM,2018-01-23 7:00AM,465,44,2,510,N/A,N/A,N/A
2018-01-21 9:38PM,2018-01-22 7:28AM,555,35,2,590,N/A,N/A,N/A
2018-01-20 9:32PM,2018-01-21 5:36AM,461,21,1,484,N/A,N/A,N/A
2018-01-19 11:25PM,2018-01-20 8:48AM,527,36,2,563,N/A,N/A,N/A
2018-01-18 11:41PM,2018-01-19 7:52AM,455,29,4,491,N/A,N/A,N/A
2018-01-17 10:15PM,2018-01-18 7:14AM,516,23,1,539,N/A,N/A,N/A
2018-01-17 2:49AM,2018-01-17 9:37AM,369,39,3,408,N/A,N/A,N/A
2018-01-16 12:00AM,2018-01-16 10:10AM,550,60,1,610,N/A,N/A,N/A
2018-01-15 1:03AM,2018-01-15 8:44AM,417,44,3,461,N/A,N/A,N/A
2018-01-13 11:19PM,2018-01-14 7:41AM,473,29,2,502,N/A,N/A,N/A
2018-01-13 12:53AM,2018-01-13 8:50AM,426,50,3,476,N/A,N/A,N/A
2018-01-11 11:04PM,2018-01-12 5:23AM,377,2,0,379,N/A,N/A,N/A
2018-01-10 11:15PM,2018-01-11 7:22AM,462,25,2,487,N/A,N/A,N/A
2018-01-09 10:38PM,2018-01-10 7:06AM,484,24,1,508,N/A,N/A,N/A
2018-01-08 10:30PM,2018-01-09 7:20AM,498,25,3,529,N/A,N/A,N/A
2018-01-07 10:28PM,2018-01-08 7:18AM,508,22,2,530,N/A,N/A,N/A
2018-01-06 10:29PM,2018-01-07 9:02AM,619,12,2,633,N/A,N/A,N/A
2018-01-05 11:07PM,2018-01-06 7:56AM,503,23,2,529,N/A,N/A,N/A
2018-01-04 10:25PM,2018-01-05 7:12AM,502,25,1,527,N/A,N/A,N/A
2018-01-03 10:34PM,2018-01-04 7:18AM,494,30,3,524,N/A,N/A,N/A
2018-01-02 11:04PM,2018-01-03 7:16AM,442,50,3,492,N/A,N/A,N/A
2018-01-01 10:11PM,2018-01-02 7:14AM,504,29,2,542,N/A,N/A,N/A
2018-01-01 2:24AM,2018-01-01 9:35AM,390,40,3,430,N/A,N/A,N/A
